"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0127445","0","1","1","1"
"0127446","0","1","1","0"
"0127447","0","1","1","0"
"0127448","0","1","0","1"
"0127449","0","0","0","1"
"0127450","0","0","0","1"
"0127451","0","0","0","0"
"0127452","0","0","0","0"
"0127453","0","0","1","1"
"0127454","0","1","1","1"
"0127455","0","1","1","1"
"0127456","0","1","1","0"
"2126635","0","0","1","0"
"2126636","0","1","1","0"
"2127279","0","0","1","0"
"2127280","0","1","1","0"
"2127281","0","1","1","0"
"2127282","0","0","1","0"
"2127283","0","1","1","0"
"2127294","0","0","1","0"
"2127295","0","0","1","0"
"2127296","0","1","1","0"
"2127297","0","0","1","0"
"2127298","0","1","1","0"
"2127299","0","1","1","0"
"2127300","0","0","1","0"
"2127301","0","1","1","0"
"2127305","0","0","1","0"
"2127306","0","1","1","0"
"2127808","0","0","1","0"
"2127809","0","1","1","0"
"2127817","0","0","1","0"
"2127818","0","1","1","0"
"2127821","0","0","1","0"
"2127822","0","1","1","0"
"2127823","0","1","1","0"
"2127824","0","0","1","0"
"2127825","0","1","1","0"
"2127829","0","0","1","0"
"2127830","0","1","1","0"
"2127831","0","0","1","0"
"2127832","0","1","1","0"
"2127836","0","0","1","0"
"2127837","0","0","1","0"
"2127838","0","1","1","0"
"2127850","0","0","1","0"
"2127851","0","1","1","0"
"2127852","0","1","1","0"
"2127853","0","0","1","0"
"2127854","0","1","1","0"
"2127880","0","0","1","0"
"2127881","0","0","1","0"
"2127882","0","1","1","0"
"2127887","0","0","1","0"
"2127888","0","1","1","0"
"2127889","0","0","1","0"
"2127890","0","1","1","0"
"2127891","0","1","1","0"
"2127892","0","0","1","0"
"2127893","0","1","1","0"
"2127901","0","0","1","0"
"2127902","0","1","1","0"
"2127910","0","0","1","0"
"2127911","0","0","1","0"
"2127912","0","1","1","0"
"2127913","0","0","1","0"
"2127914","0","1","1","0"
"2127917","0","0","1","0"
"2127918","0","1","1","0"
"2127919","0","0","1","0"
"2127920","0","0","1","0"
"2127921","0","1","1","0"
"2127922","0","0","1","0"
"2127923","0","1","1","0"
"2127924","0","1","1","0"
"2127925","0","0","1","0"
"2127926","0","1","1","0"
"2127959","0","0","1","0"
"2127960","0","1","1","0"
"2127987","0","0","1","0"
"2127988","0","1","1","0"
"2128003","0","0","1","0"
"2128004","0","1","1","0"
"2128011","0","0","1","0"
"2128012","0","1","1","0"
"2128013","0","0","1","0"
"2128014","0","1","1","0"
"2128017","0","0","1","0"
"2128018","0","1","1","0"
"2128019","0","0","1","0"
"2128020","0","0","1","0"
"2128021","0","1","1","0"
"2128022","0","0","1","0"
"2128023","0","1","1","0"
"2128024","0","1","1","0"
"2128025","0","0","1","0"
"2128026","0","1","1","0"
"2128029","0","0","1","0"
"2128030","0","1","1","0"
"2128034","0","0","1","0"
"2128035","0","1","1","0"
"2128041","0","0","1","0"
"2128042","0","1","1","0"
"2128043","0","0","1","0"
"2128044","0","1","1","0"
"2128048","0","0","1","0"
"2128049","0","1","1","0"
"2128050","0","0","1","0"
"2128051","0","1","1","0"
"2128052","0","1","1","0"
"2128053","0","0","1","0"
"2128054","0","1","1","0"
"2128061","0","0","1","0"
"2128062","0","1","1","0"
"2128063","0","1","1","0"
"2128064","0","0","1","0"
"2128065","0","1","1","0"
"2128069","0","0","1","0"
"2128070","0","1","1","0"
"2128085","0","0","1","0"
"2128086","0","1","1","0"
"2128092","0","0","1","0"
"2128093","0","1","1","0"
"2128100","0","0","1","0"
"2128101","0","1","1","0"
"2128102","0","0","1","0"
"2128103","0","0","1","0"
"2128104","0","1","1","0"
"2128105","0","0","1","0"
"2128106","0","1","1","0"
"2128107","0","1","1","0"
"2128108","0","0","1","0"
"2128109","0","1","1","0"
"2128110","0","1","1","0"
"2128111","0","0","1","0"
"2128112","0","1","1","0"
"2128113","0","0","1","0"
"2128116","0","1","1","0"
"2128117","0","0","1","0"
"2128118","0","0","1","0"
"2128119","0","1","1","0"
"2128120","0","0","1","0"
"2128121","0","0","1","0"
"2128122","0","1","1","0"
"2128123","0","0","1","0"
"2128124","0","1","1","0"
"2128125","0","1","1","0"
"2128126","0","0","1","0"
"2128127","0","1","1","0"
"2128128","0","0","1","0"
"2128129","0","0","1","0"
"2128130","0","1","1","0"
"2128131","0","0","1","0"
"2128132","0","1","1","0"
"2128139","0","0","1","0"
"2128140","0","1","1","0"
"2128156","0","0","1","0"
"2128159","0","1","1","0"
"2128164","0","0","1","0"
"2128165","0","1","1","0"
"2128166","0","0","1","0"
"2128167","0","1","1","0"
"2128168","0","1","1","0"
"2128169","0","0","1","0"
"2128170","0","1","1","0"
"2128173","0","0","1","0"
"2128176","0","1","1","0"
"2128177","0","0","1","0"
"2128178","0","0","1","0"
"2128179","0","1","1","0"
"2128183","0","0","1","0"
"2128184","0","1","1","0"
"2128185","0","0","1","0"
"2128186","0","1","1","0"
"2128191","0","0","1","0"
"2128192","0","1","1","0"
"2128193","0","1","1","0"
"2128194","0","0","1","0"
